,FWHMx_mm,FWHMy_mm,FWHMz_mm,volume_vox
3,15.2315,16.1643,15.8287,228483
4,9.20614,9.10737,9.35249,228483
5,8.76683,8.76233,8.95725,228483
56,8.55873,8.41916,8.77486,228483
57,8.59823,8.4817,8.67833,228483
58,9.14165,9.14967,9.40117,228483
106,10.5285,19.1845,13.8617,203333
109,11.0218,10.8709,11.1506,228483
110,6.23401,6.27027,6.3502,194754
111,6.71468,6.74552,6.90824,194754
112,6.99178,6.93762,7.05818,209224
113,6.53108,6.5726,6.74365,209224
115,9.83024,9.86484,10.0127,228397
116,11.1126,10.8612,11.1102,228397
117,8.43834,8.38828,8.4926,228397
118,12.7611,12.9662,12.7745,228397
119,12.6188,12.6637,12.5542,228397
120,13.9217,14.0487,13.7334,228397
121,9.82574,9.76031,10.1397,228397
122,9.61757,9.56888,9.78826,228397
123,11.6884,11.6113,12.1101,228397
124,9.83024,9.86484,10.0127,228397
125,8.75314,8.69843,8.94955,228397
126,13.0369,12.9326,13.1149,228397
127,8.79242,8.57183,9.11665,228397
130,9.81132,9.74025,9.92092,228397
131,8.79242,8.57183,9.11665,228397
132,13.0369,12.9326,13.1149,228397
135,15.6485,16.7577,16.9241,228149
136,10.5033,10.6888,11.6359,228180
138,10.813,11.0857,12.0899,228149
139,14.1738,15.3136,15.085,227937
140,13.7006,14.6765,14.6099,227937
141,15.182,16.4515,16.5787,228180
142,12.2246,12.0994,12.9466,228316
143,10.4965,10.7461,11.5075,228415
144,11.0312,11.7007,12.3175,228316
145,9.54043,9.53185,10.5262,228415
146,12.4442,12.2332,12.8886,228415
147,12.2398,12.3345,12.9238,228415
148,11.569,12.2625,12.9286,228316
149,12.5692,12.8779,13.5429,228316
150,8.24149,8.37747,8.63388,228316
151,11.7943,12.0711,12.4417,228415
152,11.7973,11.692,12.5432,228415
153,9.82286,9.81901,10.6023,228415
154,12.453,12.6943,13.3804,228316
155,12.1953,12.4053,13.0889,228316
157,11.8394,12.0801,12.4695,228483
158,11.3743,11.4477,12.5827,228483
159,13.2032,13.2623,14.8636,228483
163,12.7482,13.5762,14.3514,228483
164,12.1478,12.1331,12.9147,228483
165,14.3044,15.908,16.387,228483
166,14.3705,15.0328,16.061,228483
167,13.3266,13.6733,14.7768,228483
169,13.7171,13.764,14.763,226022
171,7.701,7.77163,9.11144,225789
172,13.6882,14.2991,14.5098,225789
173,13.4444,14.1442,14.3517,225789
174,13.5523,13.8309,14.8261,226022
175,13.0311,13.9535,13.8436,228483
177,12.6042,13.5199,13.4134,228483
178,9.18656,9.28772,9.76493,228483
180,9.70066,9.78058,10.0567,228483
181,12.3568,13.0221,13.1166,228483
183,12.5801,13.6027,13.3518,228483
184,15.7162,15.8227,13.3983,211008
185,14.7118,15.5821,13.993,211008
186,13.726,15.1064,12.8567,211008
187,15.8568,17.4182,14.182,211008
188,13.5373,14.9832,13.2064,211008
190,15.5311,16.6693,15.2409,211008
299,13.91,14.2307,13.5846,210853
300,15.5603,15.6288,15.1294,210853
301,15.4592,14.6187,13.0518,211933
303,11.8414,11.543,10.2885,210853
304,13.557,13.4681,12.2913,211026
305,12.3432,12.73,12.4119,215615
307,16.1889,16.3814,14.2755,211933
308,15.3648,14.7621,14.7179,210853
309,13.7135,14.3923,13.1545,210956
310,14.9522,14.7146,13.7196,211933
311,14.764,13.9455,12.6929,212627
330,13.9469,15.5243,16.0867,139147
331,12.2831,14.7891,14.8291,139147
332,9.97269,10.9579,10.6423,139147
333,9.97269,10.9579,10.6423,139147
341,15.1848,16.6558,17.1271,129972
342,11.7205,11.7155,10.5271,129972
343,12.7134,13.119,11.5023,129972
344,14.2118,14.9758,14.1129,129972
345,11.3451,11.6674,10.2121,129972
346,11.9099,11.9308,10.4369,129972
394,16.916,17.2888,15.5994,184523
395,17.8749,17.7042,17.3746,184523
396,17.5362,17.8107,17.0368,184523
397,15.8083,14.9644,14.8117,184523
398,16.328,16.7962,14.8308,184523
399,15.6146,15.1656,14.6177,184523
400,14.6465,14.7852,14.1867,184523
401,14.6025,15.4625,14.7131,184523
402,16.8171,18.765,15.4158,184523
403,13.7724,15.1551,13.9336,184523
404,9.75739,10.8697,10.3425,184523
405,15.6359,16.608,14.9965,184523
406,16.2521,16.2538,15.4346,184523
407,16.7267,16.0468,14.7241,153926
408,14.5649,14.7386,14.2277,184523
409,14.8124,15.8093,14.8244,184523
410,15.0936,15.0284,14.5109,184523
411,15.8083,14.9644,14.8117,184523
412,17.0039,17.5891,15.1284,184523
413,16.8859,17.7395,15.5355,184523
414,13.2936,13.2651,13.4865,184523
415,15.7057,15.8366,14.2625,184523
416,9.75739,10.8697,10.3425,184523
417,14.5926,14.5975,14.5787,184523
418,15.0398,15.0384,15.4213,184523
419,15.0437,15.774,14.7315,184523
420,17.5829,17.1533,16.0725,184523
421,17.3973,17.3909,16.9977,184523
526,12.3406,12.9293,11.8768,218690
527,12.4851,12.786,12.0571,218690
528,12.6399,13.0396,11.8841,218690
529,10.0187,10.3465,9.79033,218690
530,13.3025,14.3071,13.0002,218690
531,11.0517,11.1577,9.97289,218690
532,13.5279,15.2163,12.1943,218690
533,12.6399,13.0396,11.8841,218690
534,13.6199,13.3531,12.1357,218690
535,12.5253,13.4693,12.347,218690
536,12.0105,13.1614,11.5354,218690
537,14.092,14.648,13.5035,218690
538,14.7173,16.645,13.3236,218690
540,10.0187,10.3465,9.79033,218690
541,13.1924,14.0262,12.7494,218690
542,13.6497,15.1535,12.2103,218690
543,13.2256,15.1499,12.6357,218690
544,13.4376,14.5181,12.7284,218690
545,11.0517,11.1577,9.97289,218690
546,13.3746,14.5151,13.1995,218690
561,18.8843,20.105,15.6502,190626
562,19.7141,20.2663,15.7198,190626
563,19.7041,19.9488,15.7832,190626
564,19.3934,20.3302,15.624,190626
565,18.4402,19.4922,15.0301,190626
566,18.8256,19.6408,15.2378,190626
655,11.2613,11.7384,11.8618,251770
656,11.4005,11.8345,10.9801,251770
657,12.852,13.7586,13.8208,251770
658,10.2285,10.4604,10.3046,251745
659,11.9166,13.3645,12.4602,251770
735,14.3818,14.9061,13.9894,154967
743,13.6855,14.3666,12.9084,154967
744,11.4123,11.8783,11.0939,154967
753,11.8012,11.4495,11.0202,154967
754,12.5806,13.1428,11.9423,154967
755,10.362,10.3225,10.0915,154967
756,14.7268,13.4968,13.797,154967
757,14.022,13.0674,13.1806,154967
758,9.28418,9.10039,8.86617,154967
763,15.1712,15.4487,14.9982,154978
764,14.3154,15.207,14.1669,154978
777,12.3026,12.0736,11.2004,165906
779,12.6245,11.9147,12.4526,165702
780,17.3652,18.2617,16.039,169167
781,17.3774,17.6381,17.3665,175901
10040,12.3559,12.3378,10.6216,128123
1074,11.465,11.7799,10.8584,195538
10765,7.81292,7.74321,8.0462,214362
10766,7.81292,7.74321,8.0462,214362
10767,7.79426,7.46145,7.82937,214362
10768,7.79426,7.46145,7.82937,214362
10769,7.82249,7.67395,7.92578,216376
10770,7.82249,7.67395,7.92578,216376
10771,8.1417,7.81813,8.28469,216376
10772,8.1417,7.81813,8.28469,216376
10773,7.57482,7.4041,7.75137,216998
10774,7.57482,7.4041,7.75137,216998
10775,7.6592,7.31595,7.69616,216998
10776,7.6592,7.31595,7.69616,216998
10777,7.40545,7.08945,7.31659,214362
10778,7.40545,7.08945,7.31659,214362
10779,8.09846,7.71453,8.25432,214362
10780,8.09846,7.71453,8.25432,214362
10799,12.2335,13.8379,13.1214,151525
10800,11.6151,12.0058,11.4708,151525
10801,10.0868,10.0601,9.20094,151525
10802,11.5389,11.8276,11.2136,151525
10803,11.5973,12.043,11.4626,151525
10804,13.9616,17.9553,15.3151,283514
10805,11.5741,14.0932,12.004,279667
10924,15.432,16.3269,14.9644,175463
10925,17.7461,16.8277,16.4312,177638
11576,15.2469,14.892,16.437,221477
11979,18.6559,20.1655,17.664,177638
11980,18.3606,19.9796,17.9475,177638
11981,17.7461,16.8277,16.4312,177638
11982,19.558,20.5248,20.2138,175463
11983,19.5977,20.6525,20.2161,175463
12485,15.8402,17.3265,17.5943,179270
12486,15.6391,17.3346,17.6109,180632
12487,16.8807,17.0864,17.5335,175503
12488,15.2931,16.0377,16.1191,180330
12489,14.5503,14.4971,15.567,179664
12490,15.08,15.4074,16.6446,179293
12491,15.8566,16.2094,16.4377,177413
12492,15.8624,16.7038,16.4365,173896
12493,15.7459,16.8841,16.2362,174310
12494,15.258,15.1645,16.9955,178996
12495,15.0324,15.7303,16.4775,180887
12496,15.7846,16.4804,16.7595,178796
13158,13.7302,15.4565,13.6636,223182
13159,13.8773,15.6737,14.0558,223182
13160,15.1589,15.7904,13.9825,223182
13163,9.12007,9.80356,9.2827,220374
13165,8.07821,9.22562,8.59679,217488
13166,10.9749,12.2484,12.052,217690
13607,8.61262,8.43382,7.7296,152897
14045,18.8881,18.5918,18.4361,154654
14046,19.3177,18.7257,16.3296,154654
14169,14.304,16.2561,16.4213,156541
14170,17.4629,17.0859,18.3372,156541
14171,13.6703,14.9393,15.4212,156541
14172,16.9547,17.0625,18.7388,156541
14173,16.5124,16.2739,16.8361,156541
14174,11.6185,12.0842,11.7428,156541
14311,11.9908,12.1172,12.8401,125573
14344,13.4089,14.0346,12.5709,192255
14345,13.5823,13.6753,12.7351,192255
14346,13.1093,13.7534,12.7685,192255
14347,11.0145,10.8592,10.0492,192255
14480,10.2387,11.0382,9.33432,214122
14481,11.5433,12.5455,10.8829,214122
14482,12.9257,13.9863,12.7858,214122
14483,8.32092,8.58509,7.09428,214122
